City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,cockburn town,21.4612,-71.1419,27.55,86,100,7.44,TC,1717992478
324,rajaori,33.3833,74.3,32.0,16,0,1.87,IN,1717992478
325,imeni morozova,59.9757,31.0376,11.64,87,100,2.27,RU,1717992478
326,as sulayyil,20.4607,45.5779,30.14,12,0,1.26,SA,1717992478
327,susuman,62.7833,148.1667,10.55,36,100,0.89,RU,1717992478
328,aasiaat,68.7098,-52.8699,0.11,91,100,6.45,GL,1717992478
329,mendefera,14.8872,38.8153,19.52,64,10,0.72,ER,1717992479
330,bei'an,24.5399,109.533,27.59,86,99,3.81,CN,1717992479
331,mahibadhoo,3.7833,72.9667,28.64,73,62,5.11,MV,1717992479
332,howard springs,-12.497,131.047,29.99,57,9,2.22,AU,1717992479
333,port lincoln,-34.7333,135.8667,19.48,48,100,6.2,AU,1717992479
334,taoudenni,22.6783,-3.9836,34.45,18,9,4.17,ML,1717992480
335,bonanza,14.0289,-84.591,23.87,98,100,1.04,NI,1717992480
336,ambovombe,-25.1667,46.0833,17.31,74,63,7.11,MG,1717992480
337,butterworth,5.3991,100.3638,32.02,66,20,2.06,MY,1717992480
338,carnarvon,-24.8667,113.6333,21.46,73,88,4.67,AU,1717992480
339,puerto armuelles,8.2833,-82.8667,27.27,72,100,1.79,PA,1717992480
340,harper,4.375,-7.7169,24.58,94,100,2.64,LR,1717992481
341,saint-pierre,-21.3393,55.4781,21.21,68,0,2.57,RE,1717992481
342,mata-utu,-13.2816,-176.1745,27.57,75,87,9.7,WF,1717992481
343,guichon,-32.35,-57.2,16.66,95,76,2.24,UY,1717992481
344,al hazm,16.1641,44.7769,30.09,26,55,5.43,YE,1717992482
345,timber pines,28.4703,-82.6032,28.27,88,3,3.59,US,1717992482
346,navia,43.5354,-6.7194,13.08,95,100,1.28,ES,1717992482
347,badger,64.8,-147.5333,27.95,24,0,2.57,US,1717992482
348,nago,26.5881,127.9761,25.47,75,98,1.29,JP,1717992482
349,tierralta,8.1736,-76.0592,24.63,94,100,1.03,CO,1717992483
350,punta gorda,26.9298,-82.0454,30.01,81,0,1.54,US,1717992209
351,nemuro,43.3236,145.575,11.52,90,100,6.75,JP,1717992483
352,punta arenas,-53.15,-70.9167,1.06,93,100,3.09,CL,1717992483
353,antalaha,-14.9003,50.2788,19.84,83,4,3.53,MG,1717992483
354,general pico,-35.6566,-63.7568,13.44,44,100,1.66,AR,1717992483
355,sheringham,52.9408,1.2093,11.22,95,100,4.59,GB,1717992484
356,mahina,-17.5065,-149.489,24.87,88,75,7.2,PF,1717992484
